kanji,meanings,readings,stroke_number,unicode
愛,affection; favourite; love,アイ; いと.しい; お.しむ; かな.しい; まな; め.でる; あ; あし; え; かな; ちか; なる; めぐ; めぐみ; よし,13,611B
委,committee; devote; discard; entrust to; leave to,イ; ゆだ.ねる; まかせ,8,59D4
壱,one (in documents),イチ; イツ; ひとつ; い; かず,7,58F1
雲,cloud,ウン; -ぐも; くも; き; ずも; のめ,12,96F2
円,circle; round; yen,エン; まど; まど.か; まる; まる.い; まろ.やか; つぶら; のぶ; まどか; みつ,4,5186
王,king; magnate; rule,-ノウ; オウ; おお; おおきみ; わ,4,738B
何,what,カ; なに; なに-; なん; なん-; あが,7,4F55
火,fire,カ; -び; ひ; ほ-,4,706B
会,association; interview; join; meet; meeting; party,エ; カイ; あ.う; あ.わせる; あつ.まる; あい; い,6,4F1A
階,counter for storeys of a building; stair; storey,カイ; きざはし; しな; と; はし,12,968E
革,become serious; leather; reform; skin,カク; かわ,9,9769
官,bureaucrat; organ; the government,カン,8,5B98
館,building; large building; mansion; palace,カン; たて; やかた; たち,16,9928
希,Greece; beg; beseech; dilute (acid); few; hope; phenomenal; pray; rare; request,キ; ケ; こいねが.う; まれ; のぞ; のぞみ,7,5E0C
記,account; narrative; scribe,キ; しる.す; のり,10,8A18
休,day off; rest; retire; sleep,キュウ; やす.まる; やす.む; やす.める,6,4F11
牛,cow,ギュウ; うし; うじ; ご,4,725B
共,alike; all; and; both; neither; together; with,キョウ; -ども; とも; とも.に,6,5171
曲,bend; composition; crooked; curve; fault; injustice; lean; melody; music; perverse; pleasure,キョク; くま; ま.がる; ま.げる; まがた,6,66F2
句,clause; counter for haiku; paragraph; passage; phrase; sentence,ク; すく,5,53E5
係,concern oneself; connection; duty; person in charge,ケイ; -がかり; かか.る; かか.わる; かかり,9,4FC2
芸,acting; art; craft; performance; stunt; technique; trick,ウン; ゲイ; う.える; のり; わざ; き; げ; なり,7,82B8
券,ticket,ケン,8,5238
