kanji,unicode,stroke_number,jlpt,on_readings,kun_readings,name_readings
愛,611B,13,N3,アイ,いと.しい; お.しむ; かな.しい; まな; め.でる,あ; あし; え; かな; ちか; なる; めぐ; めぐみ; よし
委,59D4,8,N2,イ,ゆだ.ねる,まかせ
壱,58F1,7,N1,イチ; イツ,ひとつ,い; かず
雲,96F2,12,N2,ウン,-ぐも; くも,き; ずも; のめ
円,5186,4,N5,エン,まど; まど.か; まる; まる.い; まろ.やか,つぶら; のぶ; まどか; みつ
王,738B,4,N3,-ノウ; オウ,,おお; おおきみ; わ
何,4F55,7,N5,カ,なに; なに-; なん; なん-,あが
火,706B,4,N5,カ,-び; ひ; ほ-,
会,4F1A,6,N4,エ; カイ,あ.う; あ.わせる; あつ.まる,あい; い
階,968E,12,N2,カイ,きざはし,しな; と; はし
革,9769,9,N2,カク,かわ,
官,5B98,8,N3,カン,,
館,9928,16,N4,カン,たて; やかた,たち
希,5E0C,7,N2,キ; ケ,こいねが.う; まれ,のぞ; のぞみ
記,8A18,10,N3,キ,しる.す,のり
休,4F11,6,N5,キュウ,やす.まる; やす.む; やす.める,
牛,725B,4,N4,ギュウ,うし,うじ; ご
共,5171,6,N3,キョウ,-ども; とも; とも.に,
曲,66F2,6,N3,キョク,くま; ま.がる; ま.げる,まがた
句,53E5,5,N1,ク,,すく
係,4FC2,9,N3,ケイ,-がかり; かか.る; かか.わる; かかり,
芸,82B8,7,N2,ウン; ゲイ,う.える; のり; わざ,き; げ; なり
券,5238,8,N2,ケン,,
険,967A,11,N3,ケン,けわ.しい,
古,53E4,5,N4,コ,-ふる.す; ふる-; ふる.い,ふゆ
語,8A9E,14,N5,ゴ,かた.らう; かた.る,
口,53E3,3,N4,ク; コウ,くち,
港,6E2F,12,N3,コウ,みなと,
合,5408,6,N3,カッ; ガッ; ゴウ,-あ.い; -あ.う; -あ.わせる; -あい; あ.い; あ.う; あ.わす; あ.わせる; あい-,あう; あん; い; か; こう; ごお; に; ね; や; わい
査,67FB,9,N2,サ,,
菜,83DC,11,N2,サイ,な,よう
刷,5237,8,N2,サツ,-ず.り; -ずり; す.る; は.く,
蚕,8695,10,N1,サン; テン,かいこ; こ,
始,59CB,8,N4,シ,-はじ.める; はじ.まる; はじ.める,もと
死,6B7B,6,N4,シ,し.に-; し.ぬ,
資,8CC7,13,N3,シ,,すけ; もと
治,6CBB,8,N3,ジ; チ,おさ.まる; おさ.める; なお.す; なお.る,し; ぢ; はり; はる; みち
質,8CEA,15,N4,シチ; シツ; チ,ただ.す; たち; もと; わりふ,
弱,5F31,10,N2,ジャク,よわ.い; よわ.まる; よわ.める; よわ.る,
需,9700,14,N1,ジュ,,
習,7FD2,11,N4,シュウ; ジュ,なら.い; なら.う,
出,51FA,5,N5,シュツ; スイ,-だ.す; -で; い.だす; い.でる; だ.す; で.る,いず; いづ; いで; じ; すっ; すつ; てん
暑,6691,12,N1,ショ,あつ.い,
小,5C0F,3,N5,ショウ,お-; こ-; さ-; ちい.さい,いさら; こう; さざ; しゃお; ちいさ
章,7AE0,11,N2,ショウ,,あき; あきら; あや; ふみ
状,72B6,7,N3,ジョウ,,
深,6DF1,11,N3,シン,-ぶか.い; ふか.い; ふか.まる; ふか.める; み-,
図,56F3,7,N4,ズ; ト,え; はか.る,づ
政,653F,9,N3,ショウ; セイ,まつりごと; まん,ただ; まさ
製,88FD,14,N1,セイ,,
責,8CAC,11,N3,セキ,せ.める,
舌,820C,6,N1,ゼツ,した,
選,9078,15,N3,セン,え.る; えら.ぶ; よ.る,
倉,5009,10,N1,ソウ,くら,
増,5897,14,N3,ゾウ,ふ.える; ふ.やす; ま.し; ま.す,まし; ます
属,5C5E,12,N1,ショク; ゾク,さかん; つく; やから,さっか; つき
多,591A,6,N4,タ,おお.い; まさ.に; まさ.る,
隊,968A,12,N1,タイ,,
短,77ED,12,N2,タン,みじか.い,
竹,7AF9,6,N2,チク,たけ,たか
貯,8CAF,12,N2,チョ,た.める; たくわ.える,
直,76F4,8,N3,ジカ; ジキ; チョク,-なお.す; す.ぐ; ただ.ちに; なお.き; なお.す; なお.る,すぐ; なお; のう; のお
提,63D0,12,N1,ダイ; チョウ; テイ,さ.げる,
転,8EE2,11,N4,テン,うたた; うつ.る; くる.めく; ころ.がす; ころ.がる; ころ.げる; ころ.ぶ; まろ.ぶ,
土,571F,3,N5,ト; ド,つち,つく; は; ひじ
等,7B49,12,N3,トウ,-ら; など; ひと.しい,と; ひ
童,7AE5,12,N2,ドウ,わらべ,ぱ
内,5185,4,N3,ダイ; ナイ,うち,いと; ただ; ち; のち
熱,71B1,15,N3,ネツ,あつ.い,あた
馬,99AC,10,N3,バ,うま; うま-; ま,た; ばん; め; も
畑,7551,9,,,-ばたけ; はた; はたけ,かま; まま
番,756A,12,N3,バン,つが.い,は; ま
美,7F8E,9,N3,ビ; ミ,うつく.しい,はる; よし; よしみ; り
評,8A55,12,N1,ヒョウ,,
布,5E03,5,N2,フ; ホ,きれ; し.く; ぬの,う; の; ほ
福,798F,13,N3,フク,,とし; とみ; ふ; ふき; ふっ; ぼく; よし
弁,5F01,5,N1,ヘン; ベン,あらそ.う; かんむり; はなびら; わ.ける; わきま.える,べ
法,6CD5,8,N3,ハッ; フラン; ホウ; ホッ,のり,ほ
毎,6BCE,6,N5,マイ,-ごと.に; ごと,つね
名,540D,6,N5,ミョウ; メイ,-な; な,と
目,76EE,5,N4,ボク; モク,-め; ま-; め,さかん; さがん; さっか; さつか
輸,8F38,16,N2,シュ; ユ,,
容,5BB9,10,N3,ヨウ,い.れる,かた; ひろ; まさ
浴,6D74,10,N2,ヨク,あ.びせる; あ.びる,えき; さこ
略,7565,11,N2,リャク,おか.す; おさ.める; はか.る; はかりごと; はぶ.く; ほぼ,
縁,7E01,15,N1,-ネン; エン,えにし; ふち; ふち.どる; へり; ゆかり; よすが,
列,5217,6,N3,レ; レツ,,れっ
話,8A71,13,N5,ワ,はな.す; はなし,
悪,60AA,11,N4,アク; オ,-にく.い; あ.し; ああ; いずくに; いずくんぞ; にく.い; にく.む; わる-; わる.い,
意,610F,13,N4,イ,,もと; よし
印,5370,6,N2,イン,-じるし; しる.す; しるし,
営,55B6,12,N2,エイ,いとな.み; いとな.む,
園,5712,13,N3,エン,その,おん; ぞの
黄,9EC4,11,N2,オウ; コウ,き; こ-,うい; れい
価,4FA1,8,N1,カ; ケ,あたい,
花,82B1,7,N4,カ; ケ,はな,わ
解,89E3,13,N3,カイ; ゲ,さと.る; と.かす; と.く; と.ける; ほど.く; ほど.ける; わか.る,さとる; とけ
貝,8C9D,7,N2,バイ,かい,
学,5B66,8,N5,ガク,まな.ぶ,たか; のり
幹,5E79,13,N1,カン,みき,えだ; き; くる; たかし; つね; つよし; とも; まさ; み; もと; もとき; よし; より
岸,5CB8,8,N2,ガン,きし,けし
旗,65D7,14,N1,キ,はた,
貴,8CB4,12,N1,キ,たっと.い; たっと.ぶ; とうと.い; とうと.ぶ,きよ; ぎ; たか; たかし; よし
宮,5BAE,10,N1,キュウ; ク; クウ; グウ,みや,ぐ; み
去,53BB,5,N4,キョ; コ,-さ.る; さ.る,い
協,5354,8,N2,キョウ,,
極,6975,12,N2,キョク; ゴク,-ぎ.め; き.まる; き.める; きわ.まり; きわ.まる; きわ.み; きわ.める,
区,533A,4,N2,オウ; ク; コウ,,
兄,5144,5,N4,キョウ; ケイ,あに,え; せ; よし
欠,6B20,4,N3,ケツ; ケン,か.く; か.ける,
建,5EFA,9,N4,ケン; コン,-だ.て; た.つ; た.て; た.てる,たけ; たつ; たて
験,9A13,18,N4,ケン; ゲン,あかし; しるし; ため.す; ためし,
固,56FA,8,N2,コ,かた.い; かた.まり; かた.まる; かた.める,
誤,8AA4,14,N3,ゴ,-あやま.る; あやま.る,
向,5411,6,N3,コウ,-む.き; -む.け; む.い; む.かい; む.かう; む.く; む.ける; む.こう; む.こう-; むか.い; むこ,こお; た; な; むか; むかい; むこう
皇,7687,9,N1,オウ; コウ,,おうじ; おお; み
告,544A,7,N3,コク,つ.げる,い
再,518D,6,N2,サ; サイ,ふたた.び,ふた
際,969B,14,N3,サイ,-ぎわ; きわ,わ
察,5BDF,14,N3,サツ,,
賛,8CDB,15,N3,サン,たす.ける; たた.える,
姉,59C9,8,N4,シ,あね; はは,
氏,6C0F,4,N1,シ,-うじ; うじ,
歯,6B6F,12,N3,シ,は; よわ.い; よわい; よわい.する,
示,793A,5,N3,シ; ジ,しめ.す,
実,5B9F,8,N3,シツ; ジツ,まこと; み; みち.る; みの; みの.る,ぐみ; さね
主,4E3B,5,N4,シュ; シュウ; ス,あるじ; おも; ぬし,かず; ず; もん
収,53CE,4,N3,シュウ,おさ.まる; おさ.める,のぶ
衆,8846,12,N1,シュ; シュウ,おお.い,
術,8853,11,N3,ジュツ,すべ,
書,66F8,10,N5,ショ,-が.き; -がき; か.く,かき
少,5C11,4,N4,ショウ,すく.ない; すこ.し,
証,8A3C,12,N1,ショウ,あかし,
植,690D,12,N2,ショク,う.える; う.わる,うえ; え; げ
申,7533,5,N3,シン,さる; もう.し-; もう.す,
推,63A8,11,N1,スイ,お.す,
整,6574,16,N1,セイ,ととの.う; ととの.える,ひとし
西,897F,6,N5,サイ; ス; セイ,にし,いり; ひし; むら
赤,8D64,7,N4,シャク; セキ,あか; あか-; あか.い; あか.らむ; あか.らめる,あ; あこ; あま
先,5148,6,N5,セン,さき; ま.ず,ぽん
銭,92AD,14,N1,セン; ゼン,すき; ぜに,
想,60F3,13,N3,ソ; ソウ,おも.う,
蔵,8535,15,N2,ソウ; ゾウ,おさ.める; かく.れる; くら,くらし; くらん; くろう; さし; ざ; ろう
族,65CF,11,N4,ゾク,,つぎ
太,592A,4,N3,タ; タイ,ふと.い; ふと.る,おお; たか; ひろ
代,4EE3,5,N4,タイ; ダイ,-が.わり; -がわ.り; か.える; か.わり; か.わる; かわ.り; かわ.る; しろ; よ,す
団,56E3,6,N2,ダン; トン,かたまり; まる.い,
